time,open,high,low,close,VWAP,Volume,Plot,Plot,Plot,Plot,RSI,Plot,Plot,Plot,Plot,ADX,ATR
2024-05-09T15:00:00+05:30,21991.55,21994.35,21942.5,21943,22098.45748656209,30578775,70,60,40,30,23.615054381142784,60,23.615054381142784,70,23.615054381142784,41.3662180046054,46.39218146539075
2024-05-09T15:15:00+05:30,21943.2,21968.15,21932.4,21968.15,22087.21357504088,26073781,70,60,40,30,29.230448482586695,60,29.230448482586695,70,29.230448482586695,42.85408990841204,45.632025646434265
2024-05-10T09:15:00+05:30,21992.1,22050.55,21950.3,22050,22016.95,38857338,70,60,40,30,43.72894326026254,60,40,70,30,41.382827238633205,49.533309528831815
2024-05-10T09:30:00+05:30,22049.1,22071.45,22009.15,22068.85,22028.540123293194,21167035,70,60,40,30,46.449855142453906,60,40,70,30,39.46629942239028,50.445215991058056
2024-05-10T09:45:00+05:30,22069.6,22114.25,22053.55,22108.75,22039.15190546317,12011096,70,60,40,30,51.7663539718158,60,40,70,30,36.68819751738415,51.177700563125384
2024-05-10T10:00:00+05:30,22108.25,22120.25,22094.75,22110.1,22048.815307382483,11689199,70,60,40,30,51.94021109445072,60,40,70,30,34.15664329414383,49.343579094330714
2024-05-10T10:15:00+05:30,22109.5,22131.3,22078.65,22088.3,22053.86311912993,9277573,70,60,40,30,48.87648609964012,60,40,70,30,31.987111300062885,49.57975201616408
2024-05-10T10:30:00+05:30,22088.9,22110.65,22078.65,22090.15,22056.7976439559,7507557,70,60,40,30,49.15060047780004,60,40,70,30,29.972545876987727,48.324055443580924
2024-05-10T10:45:00+05:30,22089.8,22091.1,22012.95,22027.05,22055.84302687735,7901520,70,60,40,30,41.06324240013483,60,40,70,30,29.410107059654845,50.45448005475356
2024-05-10T11:00:00+05:30,22027.1,22063.5,22018,22056.3,22055.338727832033,5812805,70,60,40,30,45.53688719648102,60,40,70,30,28.887842443560025,50.10058862227116
2024-05-10T11:15:00+05:30,22056.15,22093.75,22049.95,22075.35,22056.33884088087,6849636,70,60,40,30,48.28987711987084,60,40,70,30,27.59818955221491,49.650546577823164
2024-05-10T11:30:00+05:30,22075.15,22075.8,22041.25,22057.4,22056.423918611603,5967668,70,60,40,30,45.933804170542054,60,40,70,30,26.57761152450616,48.5719361079786
2024-05-10T11:45:00+05:30,22057.5,22059.65,22015.45,22029.2,22055.43254615695,6094363,70,60,40,30,42.431228121188184,60,40,70,30,26.134587134049408,48.259654957408756
2024-05-10T12:00:00+05:30,22028.6,22052.2,22027.1,22032.3,22054.639455237048,6054592,70,60,40,30,42.946262862253725,60,40,70,30,25.723207342910992,46.60539388902257
2024-05-10T12:15:00+05:30,22032.5,22038.9,22000.3,22018.2,22052.878975218267,7261438,70,60,40,30,41.143284076761454,60,40,70,30,25.849703366589623,46.033580039806836
2024-05-10T12:30:00+05:30,22017.95,22042.2,22017.95,22024.75,22052.037779391445,5189814,70,60,40,30,42.3539973585003,60,40,70,30,25.860462277366818,44.47761003696349
2024-05-10T12:45:00+05:30,22024.5,22027.3,21991.7,21994.7,22050.072897686212,6547628,70,60,40,30,38.446571403649806,60,38.446571403649806,70,30,26.35259099983368,43.84349503432314
2024-05-10T13:00:00+05:30,21995.35,22018.85,21985.15,21992.5,22047.912848475476,6962102,70,60,40,30,38.16893952399759,60,38.16893952399759,70,30,26.924492096343762,43.11895967472842
2024-05-10T13:15:00+05:30,21992.35,22017.95,21985.2,22016.5,22046.319388565833,6617202,70,60,40,30,43.00428149566792,60,40,70,30,27.455543114531693,42.37831969796211
2024-05-10T13:30:00+05:30,22015.8,22038.45,22011.5,22035.05,22045.660069043653,6536163,70,60,40,30,46.487593200359484,60,40,70,30,27.181822280048706,41.276296862393444
2024-05-10T13:45:00+05:30,22035.35,22062.4,22026.2,22059.95,22045.784421718985,5940840,70,60,40,30,50.83146951933399,60,40,70,30,26.12102750190847,40.91370422936539
2024-05-10T14:00:00+05:30,22059.7,22061.9,22018.5,22027.05,22045.39104329198,7570021,70,60,40,30,45.56808630350131,60,40,70,30,25.327987967768856,41.09129678441082
2024-05-10T14:15:00+05:30,22026.85,22036.8,22015.6,22018.35,22044.464783484334,8508560,70,60,40,30,44.26287746088762,60,40,70,30,24.66614749305087,39.67048987123867
2024-05-10T14:30:00+05:30,22017.65,22035.5,22009.15,22030.65,22043.573804504522,9661497,70,60,40,30,46.5920192007475,60,40,70,30,24.22291977473662,38.71902630900723
2024-05-10T14:45:00+05:30,22029.75,22043.8,22020.6,22037.3,22043.052838411968,11952074,70,60,40,30,47.86060138780223,60,40,70,30,23.489015709133394,37.61052442979248
2024-05-10T15:00:00+05:30,22037.7,22072.4,22036.75,22054.6,22044.101763069855,22210026,70,60,40,30,51.11378098825732,60,40,70,30,21.82299202176873,37.470486970521684
2024-05-10T15:15:00+05:30,22054.2,22067.45,22041.4,22054,22044.871546691324,19968678,70,60,40,30,50.99494199733626,60,40,70,30,20.275970026358685,36.65473790119865
2024-05-13T09:15:00+05:30,22037.3,22067.3,21929.4,21951.8,21982.833333333332,30590202,70,60,40,30,35.74863303701831,60,35.74863303701831,70,30,21.391620123046444,43.88654233682717
2024-05-13T09:30:00+05:30,21952.2,21965,21851.6,21857.4,21946.879303460355,19800555,70,60,40,30,27.554021235380205,60,27.554021235380205,70,27.554021235380205,23.39909631473,48.85178931276819
